ageGroup,gender,ageMin,ageMax,bodyWeightMin,bodyWeightMax,lift,record,name,date,place
OPEN,F,0,1000,0,45,Snatch,64,Nicole Blackwell,2019-05-12,2019 USA Weightlifting National Championships
OPEN,F,0,1000,0,45,Clean & Jerk,81,Nicole Blackwell,2019-05-12,2019 USA Weightlifting National Championships
OPEN,F,0,1000,0,45,Total,145,Nicole Blackwell,2019-05-12,2019 USA Weightlifting National Championships
OPEN,F,0,1000,0,49,Snatch,80,Maddison Pannell,2021-07-02,"The Nike 2021 USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,0,49,Clean & Jerk,109,Maddison Pannell,2021-03-05,The Nike 2021 North American Open Series 1 powered by Rogue
OPEN,F,0,1000,0,49,Total,185,Maddison Pannell,2021-03-05,The Nike 2021 North American Open Series 1 powered by Rogue
OPEN,F,0,1000,49,55,Snatch,90,Charis Chan,2020-05-31,AO Series Online Qualifier - May
OPEN,F,0,1000,49,55,Clean & Jerk,109,Charis Chan,2022-07-01,"The Nike 2022 USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,49,55,Total,196,Charis Chan,2020-05-31,AO Series Online Qualifier - May
OPEN,F,0,1000,55,59,Snatch,87,Kelly Wild,2021-11-04,2021 Pan American Championships
OPEN,F,0,1000,55,59,Clean & Jerk,119,Kelly Wild,2021-03-05,The Nike 2021 North American Open Series 1 powered by Rogue
OPEN,F,0,1000,55,59,Total,206,Kelly Wild,2021-03-05,The Nike 2021 North American Open Series 1 powered by Rogue
OPEN,F,0,1000,59,64,Snatch,100,Jamie Hegg,2021-09-18,The Nike 2021 North American Open Series 2 powered by Rogue
OPEN,F,0,1000,59,64,Clean & Jerk,300,Jamie Hegg,2021-09-18,The Nike 2021 North American Open Series 2 powered by Rogue
OPEN,F,0,1000,59,64,Total,400,Jamie Hegg,2021-09-18,The Nike 2021 North American Open Series 2 powered by Rogue
OPEN,F,0,1000,64,71,Snatch,90,Cecily Basques,2018-09-16,Nike 2018 American Open Series 3
OPEN,F,0,1000,64,71,Clean & Jerk,122,Cecily Basques,2018-09-16,Nike 2018 American Open Series 3
OPEN,F,0,1000,64,71,Total,212,Cecily Basques,2018-09-16,Nike 2018 American Open Series 3
OPEN,F,0,1000,71,76,Snatch,98,Laura Alexander,2019-12-08,2019 American Open Finals
OPEN,F,0,1000,71,76,Clean & Jerk,124,Laura Alexander,2019-12-08,2019 American Open Finals
OPEN,F,0,1000,71,76,Total,222,Laura Alexander,2019-12-08,2019 American Open Finals
OPEN,F,0,1000,76,81,Snatch,111,Shacasia Johnson,2023-07-02,"The 2023 Nike USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,76,81,Clean & Jerk,135,Laura Alexander,2021-05-22,Hassle Free Womens Grand Prix
OPEN,F,0,1000,76,81,Total,246,Shacasia Johnson,2023-07-02,"The 2023 Nike USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,81,87,Snatch,106,Laura Alexander,2022-07-03,"The Nike 2022 USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,81,87,Clean & Jerk,134,Laura Alexander,2022-07-03,"The Nike 2022 USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,81,87,Total,240,Laura Alexander,2022-07-03,"The Nike 2022 USA Weightlifting National Championships, powered by Rogue"
OPEN,F,0,1000,87,>87,Snatch,106,Kuinini Manumua,2022-06-30,"The Nike 2022 National Under 25 Championships, powered by Rogue"
OPEN,F,0,1000,87,>87,Clean & Jerk,133,Kuinini Manumua,2022-03-06,2022 Nike North American Open Series 1 Powered by Rogue
OPEN,F,0,1000,87,>87,Total,236,Kuinini Manumua,2022-03-06,2022 Nike North American Open Series 1 Powered by Rogue
OPEN,M,0,1000,0,55,Snatch,160,D'Angelo Osorio,2018-12-23,2018 5th International Qatar Cup
OPEN,M,0,1000,0,55,Clean & Jerk,200,D'Angelo Osorio,2018-12-23,2018 5th International Qatar Cup
OPEN,M,0,1000,0,55,Total,360,D'Angelo Osorio,2018-12-23,2018 5th International Qatar Cup
OPEN,M,0,1000,55,61,Snatch,104,Seth Tom,2022-06-28,"The Nike 2022 National Junior Championships, powered by Rogue"
OPEN,M,0,1000,55,61,Clean & Jerk,132,Seth Tom,2022-06-28,"The Nike 2022 National Junior Championships, powered by Rogue"
OPEN,M,0,1000,55,61,Total,236,Seth Tom,2022-06-28,"The Nike 2022 National Junior Championships, powered by Rogue"
OPEN,M,0,1000,61,67,Snatch,121,Stephen Ngo,2019-05-12,2019 USA Weightlifting National Championships
OPEN,M,0,1000,61,67,Clean & Jerk,147,Sean Guterres,2023-09-14,"The 2023 Nike North American Open Series 2, powered by Rogue"
OPEN,M,0,1000,61,67,Total,267,Stephen Ngo,2019-05-12,2019 USA Weightlifting National Championships
OPEN,M,0,1000,67,73,Snatch,125,Stephen Ngo,2018-05-06,Standard Strength Presents: Money in the Bank 1
OPEN,M,0,1000,67,73,Clean & Jerk,150,Stephen Ngo,2018-05-06,Standard Strength Presents: Money in the Bank 1
OPEN,M,0,1000,67,73,Total,275,Stephen Ngo,2018-05-06,Standard Strength Presents: Money in the Bank 1
OPEN,M,0,1000,73,81,Snatch,152,Christian Rodriguez Ocasio,2019-07-30,2019 Pan American Games
OPEN,M,0,1000,73,81,Clean & Jerk,193,Kenton Chung,2022-08-14,Money in the Bank 22'
OPEN,M,0,1000,73,81,Total,336,Christian Rodriguez Ocasio,2019-04-27,2019 Pan American Championships
OPEN,M,0,1000,81,89,Snatch,167,Nathan Damron,2022-12-11,2022 IWF World Championships
OPEN,M,0,1000,81,89,Clean & Jerk,203,Nathan Damron,2022-12-11,2022 IWF World Championships
OPEN,M,0,1000,81,89,Total,370,Nathan Damron,2022-12-11,2022 IWF World Championships
OPEN,M,0,1000,89,96,Snatch,167,Nathan Damron,2021-04-22,Rescheduled 2020 Pan American Championships
OPEN,M,0,1000,89,96,Clean & Jerk,208,Nathan Damron,2021-11-06,2021 Pan American Championships
OPEN,M,0,1000,89,96,Total,374,Nathan Damron,2021-04-22,Rescheduled 2020 Pan American Championships
OPEN,M,0,1000,96,102,Snatch,177,Wesley Kitts,2023-06-16,2023 Grand Prix 1
